Description,Vague/Not
"Electric water and heat are included 
avail now NO FEE 
great a apartment for one person only (very GIRLY apartment 
you don't have roommates its all yours and very private 
 
 looking for longer term preferred 
 large studio COME FURNISH with bed and desk closet and other kitchen staff and electric hot plate microwave and toaster oven for cooking 
 your on bathroom and kitchen 
 good closets space 
 very bright and quiet 
 doorman elevator laundry bike room and more
PRIME UPPER WEST near subway W 96 ST EXP SUBWAY and other shopping area 
SHOWING BY APPOINTMENT 
 for more info or to see the apartment please email me WITH SOME INFO ABOUT YOU 

FULL NAME ,PHONE NUMBER , AND ABOUT YOURSELF SHORTLY 
 
 and I will call you back as soon as I can 

no pets 
no brokers fees",1
"One spot available at Open Private Yard
This is affordable car park in bensonhurst
you'll know that your vehicle is out of the street 
 in a secure location.7/24 access
Private Parking Spot $200 per month.
one space available
Text/Call for availability.
Regular size car parking only
good credit a must
for more info please call 347 260 54158",0
"We have a large-sized room in a three bed two bath modern apt. The room is available immediately. There are two full baths, a living room, a dining area, and a large galley kitchen. Each room has built-in AC and heat. There is roof access two flights up, which is great during the summer. 

Great location between Columbus Circle and Times Square. 54th/8thave. Health food store in the building. A transportation hub. Multiple subways: 1/9/N/R/A/C/E/B/D.

You will be living with two laid back professionals, both in their late 20's.

Bills are typical $70 each for the Internet, phone, gas, and electricity.

If you think you would be a good fit, shoot me an email telling me a little about yourself. Here's my email address. Thanks!",0
"No Fee!
JR 1Br in well maintain elevator building! 3 minutes to Q train
Apartment features a spacious living room area, separate alcove can easily accommodate queen size bed and separate kitchen with full size appliances. All new marble bath& great closet space.
Well maintain elevator building with laundry room and super live in
One month free rent offered to welcome new residents. price advertised is net effective of one month free on 12th lease at Gross $2295. Multiple lease term may be available, so contact us to inquire about what you need",0
"A stunning conversion of a 19th Century church nested in a prime Brooklyn location.

1 Bedroom Luxury Unit w/Exposed Brick

Only Pay 1 month Security to move in.

Multiple units available

Private parking
Exposed Brick
Laundry in building
*Roof access

All featuring; Airy loft layouts, new oak floors, GE appliances, central air and heat. Surrounded by convenient neighborhood amenities, galleries, restaurants, coffee shops and bars too. All of this an easy 15 minutes to downtown Manhattan via the J Express train.


Net Effective Pricing Based on 4 Weeks Free on a 12 Month Lease Agreement. Gross $2600.00

Text 424-395-9243 to schedule a viewing !",1
"Kitchen areas:- The cooks kitchen, with cabinets and counter space galore!10 feetof granite topped bar overlooking the family room area!Full pantry! 4pc stainless appliances included!Moms! Coooool separate ac laundry area!Living and dinning areas:- Split plan!Vaulted ceilings!Porcelaintiled floors!Ceiling fans included!Lots of windows and tiled floors !Sliding glass door opens to private covered patio!Location!On mls#: Gatlin and savona area !You can’t ask for more!I-95, us 1 and florida turnpike minutes away!Tesoro schools, publix, home depot, lowes, movies, treasure coast mall minutes away!Financing extrodinare!Vet? Got dd214? $1 down! Fha $10k down! Conv $10k down!Teacher, police, fireman? Ask for the good neighbor program.See if you qualify!Yard and patio area:Lots of room for bar-b-que , kids to run , fido and kitty too!Spectacular landscaping greets you on arrival!!Large treed landscaped yardPavered drive and patios 2 car attached garage with auto opener!Realtors are welcome!Bring your clients!! Boss says it has to go! Commissions paid!Call sue now! 561-662-00 35



STREET: 2957 SW ORTEGA ST 
CROSS STREET: GATLIN AND SAVONA 





































































































































































































































































































































Aventura land value development opportunity on busy corner intersection currently being used as an automotive repair facility. Property has all sewer and utilities in an up and coming urban core redevelopment zone. Max height and density of 15 floors and 125 units per acre. Seller may consider financing or other terms.
Located on West Dixie Hwy south of Ives Dairy Road and north of Miami Gardens Drive

DO NOT SHOW PROPERTY without contacting listing agent at for instructions. DO NOT DISTURB TENANT and EMPLOYEES. Contact listing agent for any and all questions!",0
"Hello All,

Daily Share/APT SHARE Short Stay/Long stay, (INCLUDES PRIVATE B/R queen size bed) - for one or two male/ female, IF TWO people it would be 700 each per person. Windows, living room, full kitchen, internet, street parking, half hour drive to Manhattan, near grand central parkway and long island expressway. 15- 20 minutes to St. Johns University, Queens College and LIJ hospitals. Share with straight male. No Kids. No pets. No smoking. No Furniture, Free street parking. Vic (nineoneseven) threesixone-onefivefivezero

55/day per person or 950 dollars per month for one person/ IF TWO people, it would be 700 each per person includes utilities/Wifi +SECURITY Deposit
Location Springfield Blvd and Union Turnpike (Oakland Gardens Zip 11364)

Buses Q27 and Q 88 Q 46",1
"New Condo, One large bedroom, top floor, bright light, balcony with plenty of sun, convenient subway one block away.

U Ave Brooklyn, 15 min N train to 8th Ave. Next to N, D, F subway. 30 min to Chinatown, 5 min to Coney Island boardwalk. 15 min to nearest Asian supermarket, restaurants. 

Call Ms. Lin",0
"Tenemos un Cuarto *** Amoblado para caballero listo para rentar interesado llamar al Real Estate Office/ Sunnyside Real Estate 
Broker fee
 


Furnished Room for rent near la Guardia Airport available Now if you interested please contact to 
 Sunnyside Real Estate Services USA
 1/2 Broker fee
 








Real Estatt 


Sin cocina No mascotas Caballero solo",0
"94-42 114th street, Richmond Hill, NY 11419 $749,000
3 bedrooms each unit, 2 full bathrooms
Fully finished basement with separate entrance
Backyard included
Lot size: 1,840 sqft
Nearby Q24 and Q37
Close by Apna Bazaar, and West Indian grocery
For more information, please contact GSR",0
"Tenemos un Cuarto *** Amoblado para caballero listo para rentar interesado llamar al Real Estate Office/ Sunnyside Real Estate 
Broker fee
 


Furnished Room for rent near la Guardia Airport available Now if you interested please contact to 
 Sunnyside Real Estate Services USA
Broker fee
 








Real Estatt 


Sin cocina No mascotas Caballero solo",0
"Magnificent Center Hall Mansion
Exterior handmade brick with Limestone slabs steps and accents.
4 stories building with Radiant heated floors on each level.
4 AC Central Air-conditioning units, 1 for each level,
2 private driveways, 2.5 Car Garage built in, Copper roof/Shingle.

First floor: High ceilings main center hall entrance.
Sunken floor lovely family lounge room,
Grand bright kitchen with all Pro Appliances, stainless steel, granite,
Large built in Subzero Refrigerator and much more,
Also 4 Working Fire Places with each individual chimney on this floor. 

Second floor: Master bedroom suite with private individual walk in closets room,
Balcony, private master bathroom with all amenities included Jacuzzi, bidet, marble/ granite.
7 Bedrooms all together plus 3 more possible bedrooms, 4 bathrooms in total.

Third level: 4 Bedrooms, 1 Bathroom, Nice Terrace.

Walk in level: 4 Large rooms, 3/4 bathroom, laundry room, 2 car garage.

Roof level: Observation/Sundeck with more Designer forge iron fencing, soft comfortable floors.
Manhattan skyline view, being the highest altitude building in the entire Area.
Just too much to mention! 
Please watch our Drone video of this property: https://vimeo.com/368040952

Approximate 6300 SQ.FT. Of livable space with possible 1500 SQ. FT. Extra!
Building dimensions: 40X52 
Lot size: 60X109 Irregular
Zoning: R2 – Blue prints available for entire property.
Yearly taxes: $18,000.00
Year built: 2012

Please call to register for private viewings, information and Pandemic guidelines/disclosures.
Contact Listing Realtor: George Bernardi 
At: 
 / 
 Bergen Basin Realty",1
"Magnificent Center Hall Mansion
Exterior handmade brick with Limestone slabs steps and accents.
4 stories building with Radiant heated floors on each level.
4 AC Central Air-conditioning units, 1 for each level,
2 private driveways, 2.5 Car Garage built in, Copper roof/Shingle.

First floor: High ceilings main center hall entrance.
Sunken floor lovely family lounge room,
Grand bright kitchen with all Pro Appliances, stainless steel, granite,
Large built in Subzero Refrigerator and much more,
Also 4 Working Fire Places with each individual chimney on this floor. 

Second floor: Master bedroom suite with private individual walk in closets room,
Balcony, private master bathroom with all amenities included Jacuzzi, bidet, marble/ granite.
7 Bedrooms all together plus 3 more possible bedrooms, 4 bathrooms in total.

Third level: 4 Bedrooms, 1 Bathroom, Nice Terrace.

Walk in level: 4 Large rooms, 3/4 bathroom, laundry room, 2 car garage.

Roof level: Observation/Sundeck with more Designer forge iron fencing, soft comfortable floors.
Manhattan skyline view, being the highest altitude building in the entire Area.
Just too much to mention! 
Please watch our Drone video of this property: https://vimeo.com/368040952

Approximate 6300 SQ.FT. Of livable space with possible 1500 SQ. FT. Extra!
Building dimensions: 40X52 
Lot size: 60X109 Irregular
Zoning: R2 – Blue prints available for entire property.
Yearly taxes: $18,000.00
Year built: 2012

Please call to register for private viewings, information and Pandemic guidelines/disclosures.
Contact Listing Realtor: George Bernardi 
At: 
 / 
 Bergen Basin Realty",1
"Magnificent Center Hall Mansion. A Mill Basin Beauty!

Exterior handmade brick with Limestone slabs steps and accents.
4 stories building with Radiant heated floors on each level.
4 AC Central Air-conditioning units, 1 for each level,
2 private driveways, 2.5 Car Garage built in, Copper roof/Shingle.

First floor: High ceilings main center hall entrance.
Sunken floor lovely family lounge room,
Grand bright kitchen with all Pro Appliances, stainless steel, granite,
Large built in Subzero Refrigerator and much more,
Also 4 Working Fire Places with each individual chimney on this floor. 

Second floor: Master bedroom suite with private individual walk in closets room,
Balcony, private master bathroom with all amenities included Jacuzzi, bidet, marble/ granite.
7 Bedrooms all together plus 3 more possible bedrooms, 4 bathrooms in total.

Third level: 4 Bedrooms, 1 Bathroom, Nice Terrace.

Walk in level: 4 Large rooms, 3/4 bathroom, laundry room, 2 car garage.

Roof level: Observation/Sundeck with more Designer forge iron fencing, soft comfortable floors.
Manhattan skyline view, being the highest altitude building in the entire Area.
Just too much to mention! 
Please watch our Drone video of this property: https://vimeo.com/368040952

Approximate 6300 SQ.FT. Of livable space with possible 1500 SQ. FT. Extra!
Building dimensions: 40X52 
Lot size: 60X109 Irregular
Zoning: R2 – Blue prints available for entire property.
Yearly taxes: $18,000.00
Year built: 2012

Please call to register for private viewings, information and Pandemic guidelines/disclosures.
Contact Listing Realtor: George Bernardi 
At: 
 / 
 Bergen Basin Realty",1
"116-14 148th street, Jamaica NY 11436 $559,000
Newly renovated 1 family, attached 
Fenced property.
3 bedrooms, 2 full baths
Hardwood floors, recessed lighting, stainless steel appliances 
Finished basement 
Backyard
School District: Queens 27
Lot size: 20 x 100
Lot sqft: 2,000
Near shopping and transport
For more information, please contact GSR",0
"3 Bedroom Apartment for Rent with Kitchen, Huge Living Room,Bathroom",0
"Bright 1 bed corner apartment with windows all around. All in a fantastic building with great amenities. Bright natural light coming through large windows. There are hardwood floors throughout and a modern kitchen with stone countertops, stainless steel appliances – dishwasher, microwave, gas range. The building features a rooftop, laundry, gym and much more!!!

Email only with your phone #, move date, income/credit score each applicant and guarantor, and days/times available



AMENITIES
• Gym

• Laundry in building

• High Ceilings

• Hardwood floors

• Outdoor Space

• Small dogs ok

• Cats ok

• Built in microwave

• Stone countertops

• Stainless Steel Appliances

• Skyline view

• Roof access

• Hardwood Floors

• Private parking

• Dishwasher

• Natural Light in Living Area",1
"Whitestone 3 bed 2 full bath first floor 
Huge living room backyard excellent condition 
Wood floor washer and dryer near bus and train for more information call 

Ready now",0
I’m a 32 year old Hispanic female looking for a very clean individual who’s looking to rent a huge room in Harlem by October 1st. Close to 145th and 7th Ave. If anyone is interested please email me.,0
"Huge Commercial / Office Space for Rent.
Great Location, Busy Area with a lot of Foot traffic.

Please Text for Showing 
.",0
"Renovated 2 Bedroom on the Clinton Hill-Bed Stuy border near the (G) train and within walking distance to the (A,C) trains. Great location, awesome apartment. Rare price for a nice two bedroom like this, especially in Clinton Hill! Jump on this one, it won't last long! 


Email only with your phone #, move date, income/credit score each applicant and guarantor, and days/times available



AMENITIES

• Hardwood floors

• High Ceilings

• Stainless Steel Appliances

• Small dogs ok

• Cats ok

• Hardwood Floors

• Exposed Brick",0
"Price Reduced! 

Fully Renovated 1 Family Home, Attached, 2 Story Plus Full Finished Basement, 4 Bedrooms, 3 Bathrooms, new Kitchen With All New Cabinets, Stainless Steel Appliances. 


Call/ Text Or Reply To This Ad With Reference P 

Hughes Ave & East 181 Street Belmont, Bronx NY 10457

Joseph Noor
First Time Home-Buyer Specialist 
Direct: 

www.TopLevelProperties.com
Stop Paying Your Landlord?s Mortgage & Own Your Own Home!",0
"Renovated and 600 sq ft 1BR on the 3rd floor of a WALKUP building on 147th Street (Northern Blvd & 35th Ave)! Pets ok under 25 lbs. Heat & Hot water included. 1 or 2 year lease options available. ***YOU MUST HAVE A HOUSEHOLD INCOME OF AT LEAST $65,000 AND HAVE A CREDIT/FICO SCORE OF AT LEAST 700.***",0
"3 Bedroom Apartment for Rent (Elmont)
with Living Room Kitchen & Bathroom

Please Text for showing",0
"Amazing apartment with a nice living area and huge sun-filled windows! The apartment has an exclusive L shaped kitchen with granite countertops and stainless steel appliances which includes a dishwasher. This apartment has a spacious layout, handsome fixtures hardwood floors, video intercom, central a/c and Bluetooth sound speakers! The building features all that a modern building could offer-a gym, laundry room, elevator, rooftop terrace with panoramic views and parking space for minimal fee!!



Email only with your phone #, move date, income/credit score each applicant and guarantor, and days/times available



AMENITIES

• Central A/C

• Hardwood Floors

• Laundry in building

• Outdoor Space

• Roof access

• Stainless Steel Appliances

• Elevator

• Gym

• Dishwasher

• High Ceilings

• Video Intercom

• Natural Light in Living Area

• Skyline view

• Stone countertops

• Bike storage

• Storage Space

• Lounge

• Common courtyard

• Private parking",0
"I am a single woman that needs a place to move to asap! My voucher guarantees the rent! Im looking for a studio or one bedroom under 1,800. I have NYCHA section 8. Landlords preferred, but Brokers are ok! Thanks.",0
"All New Renovations 
BEAUTIFUL MODERN 
2 Queen Size bedrooms
-2 Full Bathrooms with deep soaking tub
-Top of the line Kitchen with stainless steel appliances include a Dishwasher
---Washer and Dryer in unit---

-Private Deck-


A/C Train - Fulton
J/Z Trains - Broadway

No Broker Fee!
Pet Ok Upon Approval!
Guarantors Welcome!

For Viewing Or Virtual Tour Feel Free To Email - Text - Call",0
"****Broker's Fee****

Bright, Spacious 1 Bedroom

West 4th Street

Property Features

Hardwood Flooring

Updated Kitchen &Bathroom

ready to move in now

Call for details & appointment

Philip: 
 or Jermaine",0
"For sale is a secluded 1024 sqft 2 bedroom 1 bath and 2 stall garage that is a completely off the grid year around home. Located on a seasonal road with 16.9 acres of land. Plenty of hardwood for firewood. Some hemlock on the property that could be cut and sawed to build more storage or an addition.
 Snowplow turn around just past the house. Located in the foothills of the Adirondacks. Ride to hundreds of miles of ATV/snowmobile trails right from your front door.
 Drilled well with submersible pump. Spring fed stream runs through the property. 10- 250 watt solar panels and 24- LiFePo4 (lithium ion) batteries for storage provide 120v and 12v power the house and garage. A 3800 watt generator will charge your batteries if needed on them cloudy Winter days.
 Included is a 4x8 building that has a solar shower for 3 season showers. Hot water for it is supplied by 3-solar hot water panels. A hydraulic ram pump supplies water from the stream to 2- 50 gal storage tanks. One for cold and the other for hot water.
 Inside the house domestic hot water is supplied by an on-demand LP gas water heater and in the cold weather it is supplied by the Kitchen Queen cookstove that is tied to a 40 gallon tank that is hooked up to supply water throughout the house.
 The Kitchen Queen also heats the entire house and you can do your cooking and baking with it too. There is also a LP gas cookstove and a direct vent LP gas heater.
 On the property is a 14x16 sugarshack with a loft and a 2x3 NGMP evaporator for making your own maple syrup. There are plenty of maple trees for tapping. With 50 buckets we have made 10-11 gallons of syrup per year. It could be a bigger operation if desired.
 Deer, bear, turkey, partridge, owls, coyote and even a moose has been captured on trail cams within 20 ft from the house. There are also thousands of acres of State Land within a short drive. 2 miles from the Raquette River for fishing, boating and swimming.
 A 4 camera security system is also included. Plenty of storage in attic and overhead of the garage. A lean to addition on the garage now used for kindling wood could also be used for storage.
 This is a unique property with unlimited possibilites. Taxes just $2200/yr. Contact us for a showing.
 Not for rent and no land contracts!!!!",0
"****Broker's Fee****

Bright, Spacious 1 Bedroom

West 4th Street

Property Features

Hardwood Flooring

Updated Kitchen &Bathroom

ready to move in now

Call for details & appointment

Philip: 
 or Jermaine",0
"***Broke's Fee***

Property is close to the Yonkers waterfront downtown area.

Near many Bee-line buses, 2 Metro-North train stops, Many restaurants, Shops, schools & houses of Worship.

Call Philip to View: 


""We do not discriminate against people based on their source of income, including receipt of rental assistance vouchers or government assistance.""",0
"Hello, I have my livingroom in my one bedroom apt available for rent. THIS IS FOR SINGLE PEOPLE ONLY! NO COUPLES OR COMPANY ALLOWED. THIS IS SHORT TERM STAY ONLY. I only allow a maximum of three weeks here. Rent is $160 weekly. If you want the three weeks, I require the three weeks[$480] upfront. there is a bed available if you want to use it. Just bring your own linen. MUST BE A CLEAN PERSON WHO CLEANS UP BEHIND YOURSELF. CAUSE OF THE CORONA VIRUS, YOU MUST BRING MASKS, GLOVES AND OWN CLEANSERS. ALSO PUT A LIMIT ON GOING IN AND OUT OF THIS APARTMENT. There is a blanket at entrance for privacy. Any questions just call or text.",0
"***Broker's Fee Applies***

Perfect first apartment anyone looking for a great price, Location & convenience.

This home Features: 

Hardwood Floors thru-out

New, Stainless Steel appliances 


Open Kitchen

Plenty of Natural Lighting

Close to Multiple Bus Lines & Roadways





Call Philip for tours: 


***Disclosure****
Pictures are from a similar style apartment.

""We do not discriminate against people based on their source of income, including receipt of rental assistance vouchers or government assistance.""",0
"Join Miriam, Minah, Kejsi in this gorgeous apartment located on Bedford ave and Putnam! 

Near all the hot spots the best of bed stuy and clinton hill has to offer! 

This is perfect for pratt students as it is nearby
No pets 

Great cafes, bars and restaurants within a short walking distance, like Swell Dive, Corner Grind, Black Swan, Captain Dans, Dynaco, Do or Divem Playground coffee and much more 

Living room is furnished room is not 
You can fit a full size bed and there is a shelf, exposed brick and a large closet
high ceilings 
2 full bathrooms 

ALL FEMALE APARTMENT!!
No broker fee 
1st month rent and security to move in 
Customer support throughout your lease 

Very private owner - not a management company

Ready ASAP (must have good credit/proof of income or guarantor)

Please call/text richie on 315 385 1~4~4~4",1
"-- 1.5 bedroom apartment Great Size --
railroad bedrooms
Large bedroom big King size with great closets space,
-Extra small room in the middle space

Heat and Hot Water INCLUDED
*Full Bathroom with deep soaking tub
*High ceiling 
*Separate kitchen with full size S/S Appliances
*Great living room 

photos taking from a similar unit in the building 

NEAR A/C/J Train
Enjoy around the area Coffee shops, restaurants and Bars 
Laundromat on the same block


Pet Friendly Upon Approval
No Broker Fee
Guarantors Ok

TO VIEW OR VIRTUAL TOUR FEEL FREE TO
EMAIL / TEXT / CALL",1
"230 Perry Circle, Townville, SC 29689 - $489,900 - 6 beds, 4.5 baths, 4,165 sq ft - Do you love exquisite detailing with custom draperies and wallpaper? You simply must see this home! As you walk through the door of this 6 bedroom home, you will be taken back to the moment in time that Mrs. Perry saw the planning of all her details for this phenomenal home come to life! From the exquisite molding on the ceilings in many rooms to the draperies to the custom wallpaper she cut out by hand to perfectly enhance the decor of a room. There is so much to see in this home with 2 separate large living areas on each floor, 3 bedrooms on the main floor and 3 additional bedrooms on the 2nd floor gives so much room to be together with extended family while giving them their own space. There is a balcony off the 2nd floor living room that gives you a wonderful view of the whole property as well as offers a peaceful area to start or end your day. This gorgeous unique home would make a wonderful home place for anyone with appreciation of attention to detail, anyone that is looking for seclusion or anyone that wants to be located just across the street from Lake Hartwell, thanks to the incredibly talented woman that designed every aspect of it. You have all this detail in this well built home that was constructed in 2003. Don't miss this opportunity to a one of a kind house that poses elements you don't see in everyday homes in our area! If you would like more photos, please contact me and provide an email address. Contact Steve today before this home finds a new owner!
MLS 20229339
#JacksonStanleyRealtors #Realtor #SteveLambert #SCOwnedAndOperated #SouthCarolina #BuyandSellLocal #WeEducateOurClients #ExperienceTheDifferenceAnEducatedRealtorCanMake",1
"***Broker's Fee***

Entire Building Newly Renovated

2- 3 Bedroom units available 

unit's Feature new flooring

new appliances

plenty of natural light

Call Philip or Jermaine for Details:

 
 or 


***Disclosure****
Pictures are from a similar style apartment.

""We do not discriminate against people based on their source of income, including receipt of rental assistance vouchers or government assistance.""",0
"1 MONTH FREE - 3 bed 2 FULL Bath

1156 Myrtle Avenue Brooklyn 
August 15th 1 Year Lease - No Sublets 

JMZ Trains Less Than A 3 Min Walk

- Newer Building
- Full Kitchen w/ Dishwasher 
- IN UNIT LAUNDRY
- Roof Access
- 3 Beds 2 FULL Bathrooms 
- Spacious Rooms Large Closets 
- Tons of SUN Throughout 

🌵ROOMS🌵

- Rear bedroom 01 (1 window, including closet) 7’-4” x 13’


- Rear bedroom 02 (2 windows, including closet) 7’-9” x 16’-8” 


- Front bedroom (millwork closet) 8’ x 11’-3 


🌸REQUIREMENTS🌸
680 Credit Minimum 
Steady Income Required 
- Guarantors Accepted w/ 700 Credit and Great Income 


THE NEIGHBORHOOD🚇🌻🌮🍦
- 2 mins walking to the JMZ Trains 
- East L train transfer 
- Only 20 mins to Manhattan 
- Bars/Coffee Shops/Grocery all under 5 mins of walking distance 

Video here —- https://youtu.be/NJHTeqGzY_I

📱TEXT 2 4 0-8 5 5-5 0 3 8 📱",1
"THE TWO BEDROOM APARTMENTS FEATURE AN OPEN FLOOR PLAN IN THE KITCHEN AND LIVING ROOM AREA, PRIVATE PATIOS, RECESS LIGHTING AND TWO FULL BATHROOMS. BOTH BEDROOMS ARE SPACIOUS AND LOCATED ON OPPOSITE ENDS WITH PRIVATE CLOSETS. THE KITCHEN IS EQUIPPED WITH BRAND NEW APPLIANCES, WHITE KITCHEN CABINETS AND SUBWAY TILES. THE EAST AND WEST EXPOSURES ALLOW AN ABUNDANCE AMOUNT OF NATURAL LIGHT INTO ALL ROOMS.

QUICK WALK TO THE F TRAIN @ 169TH STREET STATION

PLEASE CALL OR EMAIL FOR MORE INFO.",0
"Modern 1 Bedroom with lots of natural light - Awesome design and architecture - tons of amenities - great location in Williamsburg located near multiple train options.

Email only with your phone #, move date, income/credit score each applicant and guarantor, and days/times available



AMENITIES
• Central A/C

• High Ceilings

• Hardwood Floors

• Video Intercom

• Natural Light in Living Area

• Laundry in building

• Bike storage

• Gym

• Game room

• Screening room

• Lounge

• Outdoor Space

• Common courtyard

• Roof access

• Skyline view

• Eat In Kitchen

• Stainless Steel Appliances

• Dishwasher

• Stone countertops",1
"No fee!

Spacious Studio w/ Terrace.

Brand New Modern Luxury Building in Prime Bushwick!

Multiple units and layouts available.


Private Parking. Newly renovated. Virtual Doorman Laundry in building. Roof access.
All featuring; Airy loft layouts, vinyl floors, SS appliances, Central Air and Heat.

Surrounded by convenient neighborhood amenities, galleries, restaurants, coffee shops and bars too.

All of this an Easy 15 minutes to downtown Manhattan via the J Express train.

Text 424-395-9243 to view.

Net Effective Pricing Based on 4 Weeks Free on a 12 Month Lease Agreement",
"BS""D 


JUST RENOVATED with new appliances 


Only serious applicants. Come prepared to fill out an application. 
or you can submit it online here

Click to here to apply now
https://www.rentapplication.net/vitllc/ 
or call/txt to discuss 347-788-88five five



Two bedroom apartment in private house BY OWNER, NO BROKERS FEES, 
AVAILABLE NOW, SHOWING THIS FRIDAY, SUNDAY from 1-3pm (by appointment only)
Call/txt for appointment 

LOOKING FOR NICE, RESPONSIBLE, CLEAN and WORKING FAMILY WITH PROOF OF EMPLOYMENT and GOOD CREDIT HISTORY. 
CAN BE FOR 2-3 ROOMMATES AS WELL. 


LOCATION :

QUIET NEIGHBORHOOD NEXT TO NOSTRAND AVE , 
VERY Hot location! Will go fast! Very nice and quiet area , public transportation easily accessible (Near the 2,5 train, Sterling St stops), near multiple bus and train routes. 2 minute walk to subway and no more than 15 minute train ride to Atlantic Mall or Manhattan. 
Walking distance (10-15 mins or 2 train stops ) to Brooklyn Museum for kids and Central Museum as well, Botanical Gardens, Brooklyn Zoo, Prospect Park , Brooklyn Central Library, Kings Hospital 
In the heart of Prospect Lefferts Garden, this apartment building is one of the gems on Rutland Road. You're close to Nostrand Ave and all the restaurants, cafes, and transportation yet your new home is located on a quiet tree-lined block. The unit has two bedrooms, and lots of windows and light. 

Parking- available street parking for 2 cars in front of the house 


Plenty of sunlight. Rent is a steal only $2300/month and DOES NOT INCLUDE GAS, ELECTRIC, 

This apartment will not last. DON'T WAIT, CALL NOW for Appointment! 

REQUIREMENTS:

The following criteria and documents are required (copies only). 
1. Credit check MUST come back with a strong, acceptable score. 
2. $60.00 NON-REFUNDABLE application fee (to run credit report, unless you have the recent one handy) 
3. Minimum family income - $80,000. 
4. copy of the Photo ID. 
5. copy of the Social Security Card. 
6. Applicant must be working at same job minimum 3 months. 
7. NO SMOKERS 
8. Last three payment stubs , last 3 utility bills and last 3 bank statements. 
9. First month rent, last month rent and one month security required. (depends on credit history) 



Vlad 
347-788-88five five",0
"750.00 HABITACION PARA MUJER SOLAMENTE. NO NINOS. LISTA PARA MUDARZE
L
Habitacion mediana en un apartamento de 4 habitaciones en un 2do. Piso. Habitacion amueblada con cama tamano twin, buen closet y balcon. 

Esta localizada cerca a la 65 Street y 50 Avenida. Mujer solamente para compartir conmigo, otra chica con su hija y tu. 

Necesitio una persona, limpia, responsable, que no fume. Esta cercana a Salon, Laundry, Comida china, Deli, Pizzeria. Buena hubicacion puede tomar el bus Q18 a un bloque que la lleva a la estacion 61 Street Woodside Avenue. O puede tomar el bus Q47 que la lleva a la Estacion de la 74 Street y Roosevelt donde puede tomar los trenes E, F, N, R or 7.

Un mes de renta y un deposito. 


Si realmente esta interesada favor darme algunos detalles de usted como en que trabaja, nacionalidad etc.. Luego yo le devuelvo sea escrito o un mensaje de voz a: 
.",0
"OPEN HOUSE SUN 8/30 12-2PM PRICED REDUCED TO SELL NOW! 
PRIVACY SEEKERS THIS ONE ACRE BEAUTIFULLY LANDSCAPED PROPERTY AND CUSTOM EXPANDED CAPE/RANCH STYLE HOME IS REALLY UNIQUE IS A MUST SEE .SOME FEATURES INCLUDE OPEN KITCHEN,GRANITE COUNTER TOPS,TILE FLOOR SS APPLIANCES THAT FLOWS INTO DINING ROOM AND FAMILY ROOM. PRIVATE ENTRANCE FAMILY ROOM HAS SKYLIGHTS,CATHEDRAL CEILING ,SPINNER FIREPLACE AND SLIDERS TO FENCED IN PROPERTY OF YOUR DREAMS. TWO CAR DETACHED GARAGE TUCKED AWAY IN BACK PLUS ONE CAR GARAGE ATTACHED TO FAMILY ROOM. GIANT BEDROOM #1 WITH STAND UP SHOWER/JACUZZI PLUS JACUZZI TUB FULL BATH .SECOND SUPER LARGE BEDROOM WITH FULL BATH AND SLIDERS TO PATIO, LARGE 3RD BEDROOM THE MAIN BATH ARE ALL ON MAIN LEVEL WITH SEVERAL ENTRANCES TO PROPERTY..CROWN MOLDINGS AND HARDWOOD FLOORS ON MAIN LEVEL THROUGH OUT. PLENTY OF CLOSETS HERE ADDITIONAL UPPER LEVEL TWO BEDROOMS AND FULL BATH.BASEMENT WITH LAUNDRY AND LOTS OF STORAGE.CENTRAL AIR,5 ZONE HEAT,LARGE OPEN LOFT SPACE ABOVE TWO CAR GARAGE COULD BE HOME OFFICE, ARTIST LOFT ETC.CLARKSTOWN NORTH SCHOOLS WHY NOT HAVE IT ALL ?
NEW CITY A VIBRANT TOWN WITH FABULOUS RESTAURANTS, SHOPS, TOWN PARKS & POOLS.
EASY COMMUTE TO WESTCHESTER OR NYC. DON'T MISS THIS OPEN HOUSE!
177 LONG COVE RD NEW CITY, NY 10956",1
"Awesome and spacious studio with great amenities! Apt has stainless steel appliances, huge bedrooms with big closets, great common space. The building is amazing, super sweet roof deck, lounge room, game room, laundry, and gym! Rooftop also has sick views. MUST SEE!


Email only with your phone #, move date, income/credit score each applicant and guarantor, and days/times available


AMENITIES
• Hardwood floors

• High Ceilings

• Exposed brick

• Video Intercom

• Laundry in building

• Game room

• Gym

• Lounge

• Roof access

• Private roof deck

• Eat In Kitchen

• Stainless Steel Appliances

• Dishwasher

• Built in microwave

• Stone countertops",1
"Huge basement for rent by owner, NO BROKERS fees - only $1499 OBO
1huge room (see pics attached)
1/2 bathroom .

back yard.

Serious inquires only ,
call/txt Vlad
347-788-88 five five",0
